id,genre,artist,song,year,youtube search
154,Mandopop,Teresa Teng,鄧麗君之歌第一集 - 鳳陽花鼓,(1967),https://www.youtube.com/results?search_query=Teresa%20Teng-%E9%84%A7%E9%BA%97%E5%90%9B%E4%B9%8B%E6%AD%8C%E7%AC%AC%E4%B8%80%E9%9B%86%20-%20%E9%B3%B3%E9%99%BD%E8%8A%B1%E9%BC%93
155,Yayue,Various,Dance Music of Imperial Palace,(Yayue),https://www.youtube.com/results?search_query=Various-Dance%20Music%20of%20Imperial%20Palace
156,Peking Opera,Various,The Ruse of the Empty City - A Traditional Peking Opera,(1960),https://www.youtube.com/results?search_query=Various-The%20Ruse%20of%20the%20Empty%20City%20-%20A%20Traditional%20Peking%20Opera
157,Cantonese Opera,Hong Kong Golden Voices,唐宮恨史 (Tang Kung Han Si),(1958),https://www.youtube.com/results?search_query=Hong%20Kong%20Golden%20Voices-%E5%94%90%E5%AE%AE%E6%81%A8%E5%8F%B2%20%28Tang%20Kung%20Han%20Si%29
158,Shaoxing Opera,Yuan Xuefen,越韵华章袁雪芬,(2010),https://www.youtube.com/results?search_query=Yuan%20Xuefen-%E8%B6%8A%E9%9F%B5%E5%8D%8E%E7%AB%A0%E8%A2%81%E9%9B%AA%E8%8A%AC
159,Baisha Xiyue,Yasuhiro Morinaga,"Naxi - Qilin Dance (Yunnan, China)",(2014),https://www.youtube.com/results?search_query=Yasuhiro%20Morinaga-Naxi%20-%20Qilin%20Dance%20%28Yunnan%2C%20China%29
160,Min'yō,Katsumasa Takasago,Flower Dance - Japanese Folk Melodies,(1969),https://www.youtube.com/results?search_query=Katsumasa%20Takasago-Flower%20Dance%20-%20Japanese%20Folk%20Melodies
161,Amami Shimauta,Various,Folk Music of the Amami Islands,(1954),https://www.youtube.com/results?search_query=Various-Folk%20Music%20of%20the%20Amami%20Islands
162,Heikyoku,Junko Ueda,Japon - l'épopée des Heike,(1990),https://www.youtube.com/results?search_query=Junko%20Ueda-Japon%20-%20l%26%23x27%3B%C3%A9pop%C3%A9e%20des%20Heike
163,Kagura,Various,Kagura - Japanese Shinto Ritual Music,(1990),https://www.youtube.com/results?search_query=Various-Kagura%20-%20Japanese%20Shinto%20Ritual%20Music
164,Taiko,Kodo,The Best of Kodo,(1994),https://www.youtube.com/results?search_query=Kodo-The%20Best%20of%20Kodo
165,Tsugaru Shamisen,Takahashi Chikuzan,Tsugaru Shamisen,(1974),https://www.youtube.com/results?search_query=Takahashi%20Chikuzan-Tsugaru%20Shamisen
166,Ryūkōka,Various,青春歌年鑑 戦前編① 昭和3年〜8年,(1928-1933),https://www.youtube.com/results?search_query=Various-%E9%9D%92%E6%98%A5%E6%AD%8C%E5%B9%B4%E9%91%91%20%E6%88%A6%E5%89%8D%E7%B7%A8%E2%91%A0%20%E6%98%AD%E5%92%8C3%E5%B9%B4%E3%80%9C8%E5%B9%B4
167,Enka,Various,日本演歌 - Japan's Oldies,(2005),https://www.youtube.com/results?search_query=Various-%E6%97%A5%E6%9C%AC%E6%BC%94%E6%AD%8C%20-%20Japan%26%23x27%3Bs%20Oldies
168,Kayōkyoku,Noriko Awaya,Mes chères chansons - Victor Recordings,(1951-1959),https://www.youtube.com/results?search_query=Noriko%20Awaya-Mes%20ch%C3%A8res%20chansons%20-%20Victor%20Recordings
169,Mood Kayō,Various,Japanese Retro Hits - Volume 2 - The Fifties,(1951-1953),https://www.youtube.com/results?search_query=Various-Japanese%20Retro%20Hits%20-%20Volume%202%20-%20The%20Fifties
170,Japanese Classical,Ensemble Nipponia,Japan - Traditional Vocal & Instrumental Music,(1976),https://www.youtube.com/results?search_query=Ensemble%20Nipponia-Japan%20-%20Traditional%20Vocal%20%26amp%3B%20Instrumental%20Music
171,Gagaku,Tokyo Gakuso,Gagaku - Court Music of Japan,(1994),https://www.youtube.com/results?search_query=Tokyo%20Gakuso-Gagaku%20-%20Court%20Music%20of%20Japan
172,Jōruri,Various,"Koten Geino Best Selection - Meijin, Meikyoku, Mei Enso - Gidayu",(2014),https://www.youtube.com/results?search_query=Various-Koten%20Geino%20Best%20Selection%20-%20Meijin%2C%20Meikyoku%2C%20Mei%20Enso%20-%20Gidayu
173,Nagauta,The Azuma Kabuki Musicians,Nagauta Music and Original Music and Arangements From Older Classics,(1954),https://www.youtube.com/results?search_query=The%20Azuma%20Kabuki%20Musicians-Nagauta%20Music%20and%20Original%20Music%20and%20Arangements%20From%20Older%20Classics
174,Noh,The Kyoto Nohgaku Kai,Japanese Noh Music,(1967),https://www.youtube.com/results?search_query=The%20Kyoto%20Nohgaku%20Kai-Japanese%20Noh%20Music
175,Shomyo,Various,"Zen, Goeika & Shomyo Chants",(1963),https://www.youtube.com/results?search_query=Various-Zen%2C%20Goeika%20%26amp%3B%20Shomyo%20Chants
176,Jiuta,Master Musicians of the Ikuta School,Japanese Koto Consort,(1968),https://www.youtube.com/results?search_query=Master%20Musicians%20of%20the%20Ikuta%20School-Japanese%20Koto%20Consort
177,Soukyoku,Koto Ensemble of the Ikuta School,Japanese Koto Orchestra,(1993),https://www.youtube.com/results?search_query=Koto%20Ensemble%20of%20the%20Ikuta%20School-Japanese%20Koto%20Orchestra
178,Danmono,Kimio Eto,Koto Music,(1959),https://www.youtube.com/results?search_query=Kimio%20Eto-Koto%20Music
179,Kumiuta,Namino Torii,Koto Kumiuta,(1976),https://www.youtube.com/results?search_query=Namino%20Torii-Koto%20Kumiuta
180,Korean Folk,Kim Suk Chul Ensemble,The Shamans of the Eastern Seaboard,(2005),https://www.youtube.com/results?search_query=Kim%20Suk%20Chul%20Ensemble-The%20Shamans%20of%20the%20Eastern%20Seaboard
181,Sinawi,Various,Sinawi Music of Korea,(1992),https://www.youtube.com/results?search_query=Various-Sinawi%20Music%20of%20Korea
182,Korean Classical,Seoul Ensemble of Traditional Music,Korea - Seoul Ensemble of Traditional Music,(1995),https://www.youtube.com/results?search_query=Seoul%20Ensemble%20of%20Traditional%20Music-Korea%20-%20Seoul%20Ensemble%20of%20Traditional%20Music
183,Aak,National Classical ...,Aak - Ancient Music of the Korean Royal Court,(2007),https://www.youtube.com/results?search_query=National%20Classical%20...-Aak%20-%20Ancient%20Music%20of%20the%20Korean%20Royal%20Court
184,Trot,Various,유성기로 듣던 가요사 - 불멸의 명가수,(1925-1945),https://www.youtube.com/results?search_query=Various-%EC%9C%A0%EC%84%B1%EA%B8%B0%EB%A1%9C%20%EB%93%A3%EB%8D%98%20%EA%B0%80%EC%9A%94%EC%82%AC%20-%20%EB%B6%88%EB%A9%B8%EC%9D%98%20%EB%AA%85%EA%B0%80%EC%88%98
185,Vietnamese Folk,Various,Music Of Viet Nam,(1965),https://www.youtube.com/results?search_query=Various-Music%20Of%20Viet%20Nam
186,Vietnamese Folk,Phong Nguyen,From Rice Paddies and Temple Yards - Traditional Music of Vietnam,(1990),https://www.youtube.com/results?search_query=Phong%20Nguyen-From%20Rice%20Paddies%20and%20Temple%20Yards%20-%20Traditional%20Music%20of%20Vietnam
187,Vietnamese Classical,Various,"Traditional Music of Vietnam - Instrumental, Art Songs, Poetry",(1991),https://www.youtube.com/results?search_query=Various-Traditional%20Music%20of%20Vietnam%20-%20Instrumental%2C%20Art%20Songs%2C%20Poetry
188,Vietnamese Classical,Dr. Phong Nguyen,Instrumental Music of Vietnam - Dan Tranh,(1983),https://www.youtube.com/results?search_query=Dr.%20Phong%20Nguyen-Instrumental%20Music%20of%20Vietnam%20-%20Dan%20Tranh
189,Nhạc vàng,Various,Saigon Supersound - Volume 1,(1965-1975),https://www.youtube.com/results?search_query=Various-Saigon%20Supersound%20-%20Volume%201
190,Dangdut,Various,Indonesia Pop Nostalgia,(2012),https://www.youtube.com/results?search_query=Various-Indonesia%20Pop%20Nostalgia
191,Jaipongan,Itoh Masyitoh & Rineka Swara,Naon Margina,(1980),https://www.youtube.com/results?search_query=Itoh%20Masyitoh%20%26amp%3B%20Rineka%20Swara-Naon%20Margina
192,Kliningan,Various,Kliningan & ketuk tilu,(NA),https://www.youtube.com/results?search_query=Various-Kliningan%20%26amp%3B%20ketuk%20tilu
193,Mono,Various,Princess Nicotine,(1994),https://www.youtube.com/results?search_query=Various-Princess%20Nicotine
194,Qasidah Modern,Nasida Ria,Moslem Songs Top Hit's - Nasida Ria - Volume 9,(NA),https://www.youtube.com/results?search_query=Nasida%20Ria-Moslem%20Songs%20Top%20Hit%26%23x27%3Bs%20-%20Nasida%20Ria%20-%20Volume%209
195,Southeast Asian Folk,Various,Street Music of Java,(1989),https://www.youtube.com/results?search_query=Various-Street%20Music%20of%20Java
196,Keroncong,Various,Kroncong - Early Indonesian Pop Music - Volume 1,(2006),https://www.youtube.com/results?search_query=Various-Kroncong%20-%20Early%20Indonesian%20Pop%20Music%20-%20Volume%201
197,Luk Thung,Various,"The Sound of Siam - Leftfield Luk Thung, Jazz & Molam in Thailand",(1964-1975),https://www.youtube.com/results?search_query=Various-The%20Sound%20of%20Siam%20-%20Leftfield%20Luk%20Thung%2C%20Jazz%20%26amp%3B%20Molam%20in%20Thailand
198,Hill Tribe,Various,Ethnic Minority Music of Southern China,(2013),https://www.youtube.com/results?search_query=Various-Ethnic%20Minority%20Music%20of%20Southern%20China
199,Hmong Folk,Théâtre National du Viet_Nam,Viêtnam - Musique et chants de Hmong,(1999),https://www.youtube.com/results?search_query=Th%C3%A9%C3%A2tre%20National%20du%20Viet_Nam-Vi%C3%AAtnam%20-%20Musique%20et%20chants%20de%20Hmong
200,Gamelan Jawa,K.R.T. Wasitodiningrat,"Javanese Court Gamelan From the Pura Paku Alaman, Jogyakarta",(1971),https://www.youtube.com/results?search_query=K.R.T.%20Wasitodiningrat-Javanese%20Court%20Gamelan%20From%20the%20Pura%20Paku%20Alaman%2C%20Jogyakarta
201,Gamelan,Various,Music From the Morning of the World - The Balinese Gamelan,(1967),https://www.youtube.com/results?search_query=Various-Music%20From%20the%20Morning%20of%20the%20World%20-%20The%20Balinese%20Gamelan
202,Gamelan Gong Kebyar,Various,Golden Rain,(1969),https://www.youtube.com/results?search_query=Various-Golden%20Rain
203,Kulintang,Various,Music of the Magindanao in the Philippines - Volumes 1 & 2,(1955),https://www.youtube.com/results?search_query=Various-Music%20of%20the%20Magindanao%20in%20the%20Philippines%20-%20Volumes%201%20%26amp%3B%202
204,Piphat,Fong Naam,Siamese Classical Music - Volume 1 - The Piphat Ensemble Before 1400 A.D.,(1991),https://www.youtube.com/results?search_query=Fong%20Naam-Siamese%20Classical%20Music%20-%20Volume%201%20-%20The%20Piphat%20Ensemble%20Before%201400%20A.D.
205,Burmese Classical,Sein Chit Ti,New Arrangements for Hsaing Ensemble,(1987),https://www.youtube.com/results?search_query=Sein%20Chit%20Ti-New%20Arrangements%20for%20Hsaing%20Ensemble
206,Caklempong,Various,Music of Indonesia - Volume 12 - Gongs and Vocal Music From Sumatra,(1996),https://www.youtube.com/results?search_query=Various-Music%20of%20Indonesia%20-%20Volume%2012%20-%20Gongs%20and%20Vocal%20Music%20From%20Sumatra
207,Saluang Klasik,Various,Music of Indonesia - Volume 6 - Night Music of West Sumatra,(1994),https://www.youtube.com/results?search_query=Various-Music%20of%20Indonesia%20-%20Volume%206%20-%20Night%20Music%20of%20West%20Sumatra
208,Thai Classical,Khana Udom Silapin na Chiang Mai,Funeral Music of Chiang Mai,(NA),https://www.youtube.com/results?search_query=Khana%20Udom%20Silapin%20na%20Chiang%20Mai-Funeral%20Music%20of%20Chiang%20Mai
209,Pinpeat,Sam_Ang Sam Ensemble,Echoes from the Palace - Court Music from Cambodia,(1996),https://www.youtube.com/results?search_query=Sam_Ang%20Sam%20Ensemble-Echoes%20from%20the%20Palace%20-%20Court%20Music%20from%20Cambodia
210,Polynesian,Various,Island Music of the South Pacific,(1981),https://www.youtube.com/results?search_query=Various-Island%20Music%20of%20the%20South%20Pacific
211,Te Pūoro Māori,Ana Hato & Deane Waretini,The Great Songs of Ana Hato and Deane Waretini,(1926),https://www.youtube.com/results?search_query=Ana%20Hato%20%26amp%3B%20Deane%20Waretini-The%20Great%20Songs%20of%20Ana%20Hato%20and%20Deane%20Waretini
212,Hawaiian,Sam Moore,Moooohieee! Musical Saw and Hawaiian Guitar Soli Recorded in Early 1920s,(2002),https://www.youtube.com/results?search_query=Sam%20Moore-Moooohieee%21%20Musical%20Saw%20and%20Hawaiian%20Guitar%20Soli%20Recorded%20in%20Early%201920s
213,Himene tarava,Various,Himene - Polyphonies polynésiennes,(1997),https://www.youtube.com/results?search_query=Various-Himene%20-%20Polyphonies%20polyn%C3%A9siennes
214,Samoan,Various,Music of Oceania - Samoan Songs - A Historical Collection,(1910-1969),https://www.youtube.com/results?search_query=Various-Music%20of%20Oceania%20-%20Samoan%20Songs%20-%20A%20Historical%20Collection
215,Indigenous Australian,Various,Tribal Music of Australia,(1953),https://www.youtube.com/results?search_query=Various-Tribal%20Music%20of%20Australia
216,Papuan Traditional,Various,Sacred Flute Music From New Guinea - Madang - Windim Mabu,(2016),https://www.youtube.com/results?search_query=Various-Sacred%20Flute%20Music%20From%20New%20Guinea%20-%20Madang%20-%20Windim%20Mabu
217,Austronesian Traditional,Various,Vocal Polyphonies of Taiwan Aborigines,(1989),https://www.youtube.com/results?search_query=Various-Vocal%20Polyphonies%20of%20Taiwan%20Aborigines
218,Gondang,Various,"Sumatra - Musiques De Batak Karo, Toba, Simalungun",(1995),https://www.youtube.com/results?search_query=Various-Sumatra%20-%20Musiques%20De%20Batak%20Karo%2C%20Toba%2C%20Simalungun
219,Pakacaping,Various,"A Visit to Borneo - Exotic Music of the Dusun, Murut and Bajau Tribes",(1961),https://www.youtube.com/results?search_query=Various-A%20Visit%20to%20Borneo%20-%20Exotic%20Music%20of%20the%20Dusun%2C%20Murut%20and%20Bajau%20Tribes
220,Inuit,Various,Чукотская и эскимосская музыка (Chukchi and Eskimo Music),(1974),https://www.youtube.com/results?search_query=Various-%D0%A7%D1%83%D0%BA%D0%BE%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B8%20%D1%8D%D1%81%D0%BA%D0%B8%D0%BC%D0%BE%D1%81%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%20%28Chukchi%20and%20Eskimo%20Music%29
221,Native American,Various,An Historical Album of Blackfoot Indian Music,(1979),https://www.youtube.com/results?search_query=Various-An%20Historical%20Album%20of%20Blackfoot%20Indian%20Music
222,Native American,Various,Music of the Sioux and the Navajo,(1949),https://www.youtube.com/results?search_query=Various-Music%20of%20the%20Sioux%20and%20the%20Navajo
223,Native American,Various,Yaqui Dances - The Pascola Music of the Yaqui Indians of Northern Mexico,(1957),https://www.youtube.com/results?search_query=Various-Yaqui%20Dances%20-%20The%20Pascola%20Music%20of%20the%20Yaqui%20Indians%20of%20Northern%20Mexico
224,Native American,Xavier Quijas Yxayotl,Aztec Dances,(2002),https://www.youtube.com/results?search_query=Xavier%20Quijas%20Yxayotl-Aztec%20Dances
225,Native American,Various,"Modern Mayan - The Indian Music of Chiapas, Mexico - Volume 1",(1975),https://www.youtube.com/results?search_query=Various-Modern%20Mayan%20-%20The%20Indian%20Music%20of%20Chiapas%2C%20Mexico%20-%20Volume%201
226,Native American,Ayllu Sulca,Music of the Incas,(1976),https://www.youtube.com/results?search_query=Ayllu%20Sulca-Music%20of%20the%20Incas
227,Native American,Yaki Kandru,Music From the Tropical Rainforest & Other Magic Places,(1982),https://www.youtube.com/results?search_query=Yaki%20Kandru-Music%20From%20the%20Tropical%20Rainforest%20%26amp%3B%20Other%20Magic%20Places
